CAT;SAC;SIC;Time;LAT;LON;H(m);H(ft);RHO;THETA;Mode3/A;FL;TA;TI;BP;RA;TTA;GS;TAR;TAS;HDG;IAS;MACH;BAR;IVV;TN;GS(kt);HDG.1;STAT;x;y;z
CAT048;20;129;05:45:04:344;41,19921793;2,05711591;975,36932546366;3200,03069775419;6,4375;198,495483;432,0;32,0;344646;VLG5YL;1014,0;-0,176;-179,297;246.0;-0,031;244,0;-178,59375;227,0;0,364;3008,0;3040,0;3566;246,18;180,6976;No alert, no SPI, aircraft airbone;30584,20810166604;9338,060072519893;975,36932546366
CAT048;20;129;05:45:04:500;41,15230642;1,97715369;1828,80395548232;6000,01316930461;10,589844;212,475586;1000,0;60,0;346690;VLG68LT;1014,0;;;;;;-128,320312;214,0;0,36;2784,0;2688,0;1788;243,98;232,3279;No alert, no SPI, aircraft airbone;23893,904227757685;4103,191179348784;1828,80395548232
CAT048;20;129;05:45:04:633;41,27008626;2,06201331;373,378830031492;1224,99620072052;2,585938;224,626465;1000,0;12,25;4D2240;RYR2SY;1014,2;;;;;;-164,707031;156,0;0,24;1504,0;1408,0;1034;158,84;196,8365;No alert, no SPI, aircraft airbone;30961,60096503197;17210,302916603752;373,378830031492
CAT048;20;129;05:45:06:805;41,3229554;2,1541825;243,836730034091;799,989297365046;2,710938;60,463257;1000,0;8,0;4CADE0;RYR64ZN;1014,0;-1,055;-114,082;154.0;-0,156;150,0;-113,554688;146,0;0,224;-928,0;-864,0;197;155,54;246,0718;No alert, no SPI, aircraft airbone;38653,34768911246;23118,81026707414;243,836730034091
CAT048;20;129;05:45:06:844;41,35693182;2,25390327;693,391040951014;2274,90506279372;7,65625;63,786621;6317,0;22,75;347601;VLG1XG;1014,0;;;;;;-114,609375;174,0;0,272;-608,0;-768,0;402;184,58;245,6543;No alert, no SPI, aircraft airbone;46977,882038776996;26941,352696988735;693,391040951014
CAT048;20;129;05:45:08:328;41,19467629;2,05704487;1036,33043500967;3400,03434439714;6,699219;197,781372;432,0;34,0;344646;VLG5YL;1014,0;;;;;;-178,417969;226,0;0,364;3040,0;3104,0;3566;247,28;180,9229;No alert, no SPI, aircraft airbone;30580,360051895685;8833,65222240902;1036,33043500967
CAT048;20;129;05:45:08:609;41,26720235;2,061043;403,858936713077;1324,99655392573;2,742188;222,736816;1000,0;13,25;4D2240;RYR2SY;1014,2;;;;;;-166,464844;162,0;0,252;1440,0;1344,0;1034;164,12;192,6782;No alert, no SPI, aircraft airbone;30881,65425866106;16889,67400725597;403,858936713077
CAT048;20;129;05:45:10:797;41,32179361;2,15069425;220,977169064805;724,990735354575;2,539062;60,078735;1000,0;7,25;4CADE0;RYR64ZN;1014,0;;;;;;-113,730469;145,0;0,224;-768,0;-800,0;197;152,68;245,6158;No alert, no SPI, aircraft airbone;38361,98129675826;22988,237090619317;220,977169064805
CAT048;20;129;05:45:10:836;41,35551701;2,2498216;678,152588871308;2224,91013967254;7,453125;63,748169;6317,0;22,25;347601;VLG1XG;1014,0;-0,176;-114,434;182.0;0;184,0;-114,785156;173,0;0,272;-992,0;-1056,0;402;182,6;245,3961;No alert, no SPI, aircraft airbone;46637,33824723589;26782,025220348565;678,152588871308
CAT048;20;129;05:45:12:320;41,19008536;2,05696542;1097,29160575848;3600,03819183665;6,964844;197,116699;432,0;36,0;344646;VLG5YL;1014,0;;;;;;-179,121094;227,0;0,368;3136,0;3168,0;3566;247,28;180,9229;No alert, no SPI, aircraft airbone;30575,828459395565;8323,767834564054;1097,29160575848
CAT048;20;129;05:45:12:578;41,26415937;2,0602738;434,339098017663;1424,99708634027;2,902344;220,792236;1000,0;14,25;4D2240;RYR2SY;1014,2;-1,406;-169,102;170.0;-0,188;172,0;-167,519531;165,0;0,256;1408,0;1184,0;1034;170,06;190,8435;No alert, no SPI, aircraft airbone;30818,62767067356;16551,451262908886;434,339098017663
CAT048;20;129;05:45:14:789;41,32062559;2,14730315;205,737564038485;674,992029600024;2,371094;59,699707;1000,0;6,75;4CADE0;RYR64ZN;1014,0;;;;;;-113,90625;145,0;0,22;-704,0;-800,0;197;151,36;245,8026;No alert, no SPI, aircraft airbone;38078,741940094435;22857,02627779981;205,737564038485
CAT048;20;129;05:45:14:836;41,35410178;2,24564861;655,294131443836;2149,91519820619;7,246094;63,693237;6317,0;21,5;347601;VLG1XG;1014,0;;;;;;-114,960938;172,0;0,268;-1056,0;-1152,0;402;182,6;245,3961;No alert, no SPI, aircraft airbone;46289,13821624758;26622,61851812041;655,294131443836
CAT048;20;129;05:45:16:305;41,18552207;2,0568312;1158,25281234831;3800,04215686482;7,230469;196,523438;432,0;38,0;344646;VLG5YL;1014,0;;;;;;-177,539062;226,0;0,364;3104,0;3168,0;3566;247,28;181,6205;No alert, no SPI, aircraft airbone;30566,687867743487;7816,93427729211;1158,25281234831
CAT048;20;129;05:45:16:555;41,26094149;2,05946125;449,579290725291;1474,99772018316;3,074219;218,95752;1000,0;14,75;4D2240;RYR2SY;1014,2;;;;;;-168,046875;171,0;0,264;1344,0;1056,0;1034;177,1;190,4205;No alert, no SPI, aircraft airbone;30752,044448890778;16193,789777195338;449,579290725291
CAT048;20;129;05:45:18:781;41,31949728;2,14397828;190,49792351108;624,993207372093;2,207031;59,249268;1000,0;6,25;4CADE0;RYR64ZN;1014,0;;;;;;-114,433594;144,0;0,22;-800,0;-768,0;197;150,48;245,6488;No alert, no SPI, aircraft airbone;37801,01480642602;22730,265529676122;190,49792351108
